drugbank_id	mcule_id
DB00544	MCULE-6338086431
DB00545	MCULE-2045762718
DB00545	MCULE-9535630272
DB00548	MCULE-4093240509
DB00549	MCULE-2053856450
DB00550	MCULE-9403710688
DB00551	MCULE-2682231025
DB00553	MCULE-2500932325
DB00554	MCULE-1939282084
DB00555	MCULE-7648410888
DB00559	MCULE-3074160312
DB00561	MCULE-1905124271
DB00561	MCULE-9853713128
DB00563	MCULE-3234195945
DB00563	MCULE-6523054194
DB00564	MCULE-9121567287
DB00565	MCULE-3169739755
DB00567	MCULE-2533664895
DB00568	MCULE-5586055809
DB00568	MCULE-8383449065
DB00569	MCULE-3833394421
DB00570	MCULE-9557143632
DB00570	MCULE-9967454324
DB00571	MCULE-6124856976
DB00571	MCULE-7804628650
DB00572	MCULE-1764209130
DB00573	MCULE-2686503876
DB00574	MCULE-1052472012
DB00574	MCULE-9398907294
DB00575	MCULE-5017779690
DB00575	MCULE-9274594116
DB00577	MCULE-5144364202
DB00577	MCULE-5197523416
DB00581	MCULE-9703640332
DB00583	MCULE-6432281267
DB00585	MCULE-2060254827
DB00586	MCULE-1824024270
DB00588	MCULE-6320900519
DB00590	MCULE-6153348827
DB00591	MCULE-1709160556
DB00592	MCULE-5522245554
DB00594	MCULE-5948863568
DB00595	MCULE-3329146897
DB00595	MCULE-5398230579
DB00595	MCULE-9084405025
DB00597	MCULE-4909487075
DB00598	MCULE-6427232261
DB00600	MCULE-6689165962
DB00601	MCULE-1386878455
DB00601	MCULE-7828732421
DB00602	MCULE-7927277604
DB00603	MCULE-1849472820
DB00603	MCULE-1992456011
DB00604	MCULE-7144129340
DB00605	MCULE-1650021370
DB00605	MCULE-2141100739
DB00605	MCULE-5977549605
DB00608	MCULE-3610827164
DB00608	MCULE-4724842928
DB00609	MCULE-1322319906
DB00612	MCULE-4376025366
DB00613	MCULE-5116434245
DB00614	MCULE-6333737667
DB00614	MCULE-7057048022
DB00618	MCULE-3936624334
DB00619	MCULE-2384256888
DB00620	MCULE-2275167728
DB00620	MCULE-2624044429
DB00623	MCULE-5643291638
DB00623	MCULE-7579992672
DB00624	MCULE-1294118086
DB00624	MCULE-3333652397
DB00625	MCULE-3949811498
DB00625	MCULE-8420116224
DB00627	MCULE-3788394698
DB00629	MCULE-3449803623
DB00629	MCULE-4615358259
DB00631	MCULE-2276059681
DB00634	MCULE-7029640696
DB00635	MCULE-2603291254
DB00635	MCULE-9427838644
DB00636	MCULE-9236719628
DB00637	MCULE-9080712110
DB00640	MCULE-2748108750
DB00640	MCULE-4219451083
DB00640	MCULE-4739150481
DB00640	MCULE-5682876196
DB00640	MCULE-5882466362
DB00640	MCULE-6268373280
DB00640	MCULE-7071766082
DB00640	MCULE-7671875172
DB00640	MCULE-7821885333
DB00640	MCULE-9546992456
DB00641	MCULE-8390617062
DB00643	MCULE-4133611535
DB00645	MCULE-1206604674
DB00645	MCULE-3987805129
DB00646	MCULE-3501448846
DB00648	MCULE-2068358149
DB00649	MCULE-8043607347
DB00649	MCULE-9252477726
DB00650	MCULE-5270742619
DB00651	MCULE-5509227834
DB00651	MCULE-5961784994
