drugbank_id	bindingdb_id
DB01126	50340481
DB01127	31773
DB01128	18525
DB01128	18678
DB01128	18692
DB01129	50409892
DB01129	50409894
DB01133	50442524
DB01136	25759
DB01137	50045004
DB01137	50366826
DB01139	50350469
DB01139	50370592
DB01140	50350467
DB01142	112780
DB01142	50079527
DB01144	10883
DB01146	50241333
DB01147	50022788
DB01149	50069447
DB01151	35229
DB01155	50178917
DB01156	50048392
DB01157	18268
DB01159	50112212
DB01160	50020300
DB01160	50035622
DB01160	85340
DB01160	97180
DB01162	50033111
DB01164	26979
DB01165	50045004
DB01165	50366826
DB01167	50011478
DB01167	50127138
DB01171	15613
DB01173	50062614
DB01174	50021437
DB01175	25870
DB01175	50302225
DB01175	86046
DB01177	114949
DB01177	58490
DB01179	50035218
DB01182	50067133
DB01183	50000788
DB01183	54795
DB01183	86260
DB01184	50241107
DB01185	18189
DB01185	50073060
DB01186	50017543
DB01186	50028421
DB01186	86233
DB01188	66087
DB01191	84738
DB01191	85596
DB01191	85597
DB01192	50001707
DB01193	25755
DB01194	10885
DB01194	13056
DB01195	50131434
DB01196	50333646
DB01197	21642
DB01197	50011362
DB01197	50011367
DB01197	50140754
DB01197	50406955
DB01199	50000690
DB01199	50366799
DB01199	81458
DB01199	86242
DB01200	70294
DB01200	81993
DB01202	50001546
DB01202	50422542
DB01203	25766
DB01204	67690
DB01205	26263
DB01207	50003795
DB01208	50366822
DB01209	50276568
DB01211	50106545
DB01211	50404044
DB01212	50049707
DB01212	83201
DB01216	50025356
DB01216	50334788
DB01216	92326
DB01217	10015
DB01218	79214
DB01220	50347620
DB01221	50044140
DB01222	50354850
DB01223	10847
DB01223	7972
DB01223	82053
DB01224	50095890
DB01227	50027391
DB01229	50001839
DB01232	50010494
DB01232	50039563
DB01232	50373904
DB01232	50373905
DB01232	519
DB01233	48320
DB01234	18207
DB01234	73823
DB01235	4377
DB01235	50130192
DB01237	81465
DB01238	50130293
DB01239	50130257
DB01239	50240514
DB01240	82215
DB01241	50110590
DB01242	77970
DB01243	32147
DB01244	78577
DB01245	50060582
DB01246	50062261
DB01248	36351
DB01253	50390991
DB01253	81446
DB01254	13216
DB01259	5445
DB01261	11162
DB01261	126822
DB01262	96274
DB01263	50181473
DB01264	8125
DB01265	1
DB01267	50252513
DB01268	4814
DB01273	50166908
DB01274	50151720
DB01274	86453
DB01275	81461
DB01283	50207446
DB01288	50131281
DB01288	50213098
DB01288	50213103
DB01288	50213106
DB01288	50213114
DB01288	50221768
DB01294	26193
DB01294	85513
DB01297	25749
DB01303	50026220
DB01321	50417950
DB01325	25898
DB01326	50350468
DB01326	53512
DB01327	50370587
DB01329	50390999
DB01330	80643
DB01331	50169176
DB01331	50335563
DB01331	57046
DB01333	50370585
DB01337	86425
DB01339	50424713
DB01339	86424
DB01342	50049209
