drugbank_id	kegg_ligand_id
DB01563	C06899
DB01564	C14475
DB01565	C11782
DB01576	C07514
DB01576	C07884
DB01577	C07164
DB01579	C07904
DB01582	C19530
DB01583	C01330
DB01583	C01829
DB01583	C02465
DB01583	C08212
DB01586	C02528
DB01586	C07880
DB01586	C17660
DB01586	C17662
DB01586	C17664
DB01588	C07366
DB01589	C07336
DB01591	C00042
DB01592	C00023
DB01595	C07487
DB01597	C01675
DB01598	C06665
DB01599	C07373
DB01601	C12871
DB01602	C08122
DB01602	C08123
DB01603	C07177
DB01603	C13973
DB01604	C11750
DB01606	C07771
DB01607	C07139
DB01607	C14021
DB01611	C07043
DB01618	C07230
DB01619	C07790
DB01620	C12574
DB01625	C07055
DB01626	C07414
DB01627	C06812
DB01627	C14002
DB01628	C11718
DB01629	C16633
DB01632	C00119
DB01636	C14818
DB01638	C00392
DB01638	C00794
DB01638	C01489
DB01638	C01507
DB01638	C01697
DB01638	C01722
DB01642	C03619
DB01643	C00364
DB01645	C06563
DB01646	C02712
DB01650	C01772
DB01650	C05838
DB01652	C02949
DB01655	C00345
DB01660	C13742
DB01661	C02739
DB01669	C11299
DB01671	C00001
DB01671	C00985
DB01671	C01328
DB01671	C03444
DB01672	C00196
DB01673	C01212
DB01675	C03460
DB01676	C16391
DB01677	C00122
DB01677	C01384
DB01683	C11308
DB01686	C03626
DB01687	C00185
DB01687	C00208
DB01687	C00243
DB01687	C00897
DB01687	C01970
DB01687	C01971
DB01687	C02964
DB01687	C06421
DB01687	C06422
DB01688	C01468
DB01690	C06197
DB01692	C00265
DB01692	C00950
DB01694	C00552
DB01694	C00898
DB01694	C02107
DB01696	C00366
DB01697	C00420
DB01697	C00551
DB01697	C01835
DB01697	C06219
DB01698	C05625
DB01700	C04677
DB01701	C19034
DB01702	C01161
DB01703	C00023
DB01708	C01227
DB01709	C00631
DB01713	C00190
DB01713	C00935
DB01714	C02728
DB01715	C01037
DB01717	C04058
DB01722	C07111
DB01726	C01987
DB01727	C00311
DB01727	C00451
DB01727	C04617
DB01729	C01243
DB01729	C01245
DB01733	C19156
DB01735	C02634
DB01735	C02635
DB01739	C00407
DB01739	C06418
DB01739	C16434
DB01744	C00808
DB01744	C00809
DB01744	C18369
DB01746	C00123
DB01746	C01570
DB01746	C16439
DB01747	C14819
DB01750	C13014
DB01750	C18534
DB01752	C00021
DB01756	C03393
DB01758	C02515
DB01759	C14516
DB01762	C00164
DB01764	C08033
DB01764	C08034
DB01774	C00498
DB01774	C06192
DB01775	C00184
DB01776	C01467
DB01779	C02979
DB01779	C12935
DB01783	C00864
DB01783	C12276
DB01785	C00235
DB01786	C00041
DB01786	C00133
DB01786	C01401
DB01794	C00305
DB01794	C00753
DB01794	C05924
DB01795	C16200
DB01796	C03722
DB01812	C00054
DB01816	C02256
DB01819	C00074
DB01822	C01119
DB01822	C06484
DB01828	C00218
DB01833	C00308
DB01837	C00979
DB01839	C00583
DB01839	C02912
DB01839	C02917
DB01844	C03134
DB01845	C18150
DB01849	C00429
DB01852	C05903
DB01853	C11242
DB01856	C02656
DB01857	C03082
DB01859	C11436
DB01861	C00029
DB01861	C00052
DB01863	C01272
DB01864	C01806
DB01872	C03953
DB01872	C16265
DB01873	C12039
DB01874	C00783
DB01878	C06354
DB01880	C01197
DB01880	C01481
DB01885	C00198
DB01885	C02669
DB01885	C02692
DB01892	C07608
DB01894	C00270
DB01900	C01455
DB01904	C00379
DB01904	C00474
DB01904	C00532
DB01904	C01904
DB01909	C13548
DB01914	C01662
DB01917	C00134
DB01917	C02896
DB01930	C00522
DB01936	C00121
DB01936	C01510
DB01936	C06115
DB01936	C16639
DB01941	C15640
DB01942	C00058
DB01956	C00245
DB01957	C14270
DB01961	C05822
DB01962	C06501
DB01971	C00785
DB01972	C00144
DB01979	C03619
DB01982	C00191
DB01982	C00333
DB01982	C02024
DB01982	C06472
DB01982	C06477
DB01982	C08348
DB01982	C08350
DB01987	C00068
DB01990	C18043
DB01992	C00010
DB02007	C00092
DB02007	C00275
DB02007	C00668
DB02007	C01113
DB02007	C01172
DB02007	C02962
DB02007	C02965
DB02007	C03735
DB02010	C02079
DB02013	C00023
DB02015	C00415
DB02022	C01279
DB02024	C05629
DB02025	C05556
DB02030	C04778
DB02031	C00101
DB02034	C10173
DB02053	C01068
DB02053	C02895
DB02053	C03509
DB02056	C00696
DB02057	C13672
DB02059	C00301
DB02060	C00414
DB02061	C00185
DB02061	C00208
DB02061	C00243
DB02061	C00897
DB02061	C01970
DB02061	C01971
DB02061	C02964
DB02061	C06421
DB02061	C06422
DB02068	C00431
DB02070	C00328
DB02070	C01718
DB02074	C01771
DB02076	C00345
DB02083	C01026
DB02085	C01234
DB02092	C15441
DB02095	C11129
DB02097	C00475
DB02097	C02961
DB02098	C03850
DB02100	C03619
DB02110	C03184
DB02115	C10216
DB02119	C01300
DB02123	C05466
DB02129	C00337
DB02130	C06672
DB02134	C00385
DB02137	C05924
DB02142	C00647
DB02144	C13888
DB02145	C06142
DB02153	C00606
DB02156	C05528
DB02159	C00583
DB02159	C02912
DB02159	C02917
DB02161	C07814
DB02163	C18993
DB02165	C00001
DB02165	C00038
DB02165	C01328
DB02169	C01945
DB02171	C00644
DB02171	C01096
DB02171	C02810
DB02171	C06311
DB02172	C10143
DB02174	C00064
DB02174	C00303
DB02174	C00819
DB02175	C00383
DB02175	C02028
DB02175	C04025
DB02176	C00033
DB02176	C00703
DB02178	C00601
DB02180	C02593
DB02181	C00286
DB02184	C00265
DB02184	C00950
DB02185	C04720
DB02186	C04132
DB02186	C04255
DB02187	C14392
DB02190	C05379
DB02192	C05853
DB02196	C00043
DB02196	C00203
DB02196	C01170
DB02201	C00383
DB02201	C02028
DB02201	C04025
DB02203	C02659
DB02205	C09267
DB02209	C00627
DB02224	C01617
DB02224	C12316
DB02232	C00090
DB02232	C15571
DB02235	C02989
DB02235	C15998
DB02235	C15999
DB02236	C03838
DB02237	C01810
DB02237	C02013
DB02237	C02052
DB02238	C01180
DB02239	C18380
DB02249	C14687
DB02251	C02730
DB02256	C00526
DB02262	C00295
DB02263	C00118
DB02263	C00661
DB02264	C03126
DB02266	C13038
DB02267	C03406
DB02274	C01092
DB02279	C02137
DB02280	C01983
DB02280	C01984
DB02282	C00170
DB02289	C00872
DB02296	C07328
DB02304	C05954
DB02309	C00655
DB02312	C00092
DB02312	C00275
DB02312	C00668
DB02312	C01113
DB02312	C01172
DB02312	C02962
DB02312	C02965
DB02312	C03735
DB02314	C00692
DB02315	C00942
DB02317	C00103
DB02317	C00446
DB02317	C00636
DB02317	C00663
DB02317	C01002
DB02317	C01171
DB02317	C03384
DB02317	C15924
DB02317	C15926
DB02321	C03539
DB02332	C00016
DB02333	C00460
DB02334	C11499
