drugbank_id	molport_id
DB00444	MolPort-006-822-656
DB00445	MolPort-006-385-638
DB00446	MolPort-001-794-646
DB00448	MolPort-002-885-834
DB00451	MolPort-000-731-211
DB00451	MolPort-002-511-861
DB00451	MolPort-003-901-019
DB00451	MolPort-004-285-392
DB00451	MolPort-028-602-558
DB00452	MolPort-003-930-331
DB00452	MolPort-006-108-008
DB00452	MolPort-006-185-018
DB00452	MolPort-009-653-424
DB00452	MolPort-009-757-679
DB00452	MolPort-027-835-911
DB00452	MolPort-030-042-299
DB00456	MolPort-000-739-730
DB00456	MolPort-001-933-234
DB00456	MolPort-002-323-202
DB00456	MolPort-002-511-511
DB00457	MolPort-001-684-488
DB00458	MolPort-003-666-208
DB00458	MolPort-005-943-814
DB00459	MolPort-003-925-892
DB00459	MolPort-027-677-454
DB00462	MolPort-000-742-154
DB00462	MolPort-001-760-361
DB00462	MolPort-016-633-266
DB00465	MolPort-003-666-507
DB00466	MolPort-002-535-209
DB00468	MolPort-000-146-082
DB00468	MolPort-001-766-747
DB00468	MolPort-002-527-888
DB00468	MolPort-002-914-977
DB00468	MolPort-003-850-081
DB00468	MolPort-027-835-009
DB00468	MolPort-027-942-662
DB00471	MolPort-002-885-842
DB00471	MolPort-023-220-169
DB00471	MolPort-035-394-937
DB00472	MolPort-003-666-535
DB00472	MolPort-009-194-198
DB00475	MolPort-002-051-367
DB00476	MolPort-003-666-661
DB00476	MolPort-006-393-906
DB00476	MolPort-023-220-249
DB00477	MolPort-001-727-943
DB00477	MolPort-003-928-768
DB00478	MolPort-000-142-042
DB00478	MolPort-000-768-308
DB00478	MolPort-002-558-198
DB00478	MolPort-016-637-173
DB00478	MolPort-016-637-174
DB00478	MolPort-027-713-770
DB00478	MolPort-027-713-779
DB00479	MolPort-000-725-601
DB00479	MolPort-000-734-155
DB00479	MolPort-003-925-527
DB00479	MolPort-003-940-097
DB00479	MolPort-003-940-146
DB00479	MolPort-006-709-404
DB00479	MolPort-009-758-339
DB00479	MolPort-020-313-425
DB00479	MolPort-028-962-290
DB00481	MolPort-003-666-733
DB00483	MolPort-001-783-703
DB00483	MolPort-003-666-195
DB00484	MolPort-016-638-379
DB00484	MolPort-023-220-671
DB00484	MolPort-035-395-833
DB00485	MolPort-000-706-278
DB00485	MolPort-002-512-432
DB00485	MolPort-002-964-484
DB00485	MolPort-005-938-009
DB00487	MolPort-000-700-007
DB00487	MolPort-002-339-583
DB00487	MolPort-003-666-630
DB00489	MolPort-003-959-478
DB00489	MolPort-005-979-609
DB00489	MolPort-008-265-912
DB00490	MolPort-000-733-642
DB00490	MolPort-002-163-732
DB00490	MolPort-027-564-859
DB00491	MolPort-005-934-887
DB00492	MolPort-003-666-516
DB00492	MolPort-005-934-396
DB00492	MolPort-023-278-217
DB00492	MolPort-035-395-736
DB00493	MolPort-001-525-280
DB00493	MolPort-002-339-742
DB00493	MolPort-002-513-351
DB00493	MolPort-002-823-663
DB00493	MolPort-002-930-265
DB00493	MolPort-003-928-040
DB00493	MolPort-005-934-578
DB00493	MolPort-019-728-431
DB00493	MolPort-021-780-514
DB00493	MolPort-023-302-974
DB00493	MolPort-027-714-060
DB00494	MolPort-006-393-929
DB00494	MolPort-027-713-958
DB00495	MolPort-000-769-318
DB00495	MolPort-002-042-297
DB00495	MolPort-003-844-345
DB00495	MolPort-027-637-131
DB00496	MolPort-003-846-139
DB00496	MolPort-009-198-962
DB00496	MolPort-023-220-503
DB00500	MolPort-003-666-293
DB00500	MolPort-003-987-731
DB00501	MolPort-001-838-193
DB00501	MolPort-002-542-886
DB00501	MolPort-003-895-998
DB00501	MolPort-016-638-396
DB00501	MolPort-020-109-101
DB00501	MolPort-023-220-419
DB00501	MolPort-028-616-782
DB00503	MolPort-005-979-734
DB00503	MolPort-023-220-171
DB00508	MolPort-003-666-452
DB00509	MolPort-000-731-211
DB00509	MolPort-002-511-861
DB00509	MolPort-003-901-019
DB00509	MolPort-004-285-392
DB00509	MolPort-028-602-558
DB00512	MolPort-003-939-852
DB00512	MolPort-003-983-462
DB00512	MolPort-020-313-422
DB00512	MolPort-023-220-301
DB00513	MolPort-002-133-028
DB00513	MolPort-020-014-100
DB00515	MolPort-001-783-702
DB00515	MolPort-003-983-464
DB00515	MolPort-035-394-851
DB00516	MolPort-001-756-349
DB00516	MolPort-003-926-090
DB00517	MolPort-001-760-361
DB00518	MolPort-000-726-929
DB00518	MolPort-001-932-918
DB00520	MolPort-029-887-122
DB00520	MolPort-035-395-717
DB00522	MolPort-006-127-559
DB00523	MolPort-002-507-281
DB00523	MolPort-016-633-206
DB00526	MolPort-001-779-798
DB00526	MolPort-020-393-575
DB00527	MolPort-002-322-559
DB00527	MolPort-003-666-160
DB00528	MolPort-003-848-362
DB00529	MolPort-003-665-560
DB00529	MolPort-009-194-148
DB00530	MolPort-003-850-391
DB00531	MolPort-000-739-014
DB00533	MolPort-000-883-878
DB00533	MolPort-006-817-786
DB00534	MolPort-001-783-702
DB00535	MolPort-003-845-683
DB00535	MolPort-023-219-575
DB00537	MolPort-000-724-354
DB00539	MolPort-000-854-930
DB00539	MolPort-027-835-914
DB00540	MolPort-003-959-040
DB00541	MolPort-000-765-810
DB00541	MolPort-003-939-860
DB00541	MolPort-003-983-437
DB00541	MolPort-006-069-042
DB00542	MolPort-003-666-601
DB00542	MolPort-005-978-639
DB00544	MolPort-003-990-447
DB00544	MolPort-005-861-486
DB00545	MolPort-003-666-466
DB00550	MolPort-000-145-889
DB00550	MolPort-004-414-251
DB00552	MolPort-023-331-604
DB00553	MolPort-027-564-893
DB00554	MolPort-001-888-120
DB00557	MolPort-001-531-967
DB00558	MolPort-020-313-391
DB00559	MolPort-003-986-488
DB00560	MolPort-009-199-379
DB00561	MolPort-005-940-749
DB00561	MolPort-005-973-141
DB00562	MolPort-003-666-130
DB00563	MolPort-001-779-666
DB00563	MolPort-006-328-818
DB00564	MolPort-023-220-275
DB00565	MolPort-001-783-158
DB00565	MolPort-003-940-284
DB00566	MolPort-003-666-563
DB00567	MolPort-002-520-617
DB00567	MolPort-002-915-702
DB00567	MolPort-004-285-253
DB00567	MolPort-006-823-789
DB00567	MolPort-008-323-108
DB00568	MolPort-002-056-760
DB00570	MolPort-000-778-891
DB00570	MolPort-003-939-859
DB00570	MolPort-003-983-429
DB00570	MolPort-005-910-359
DB00570	MolPort-006-111-039
DB00570	MolPort-028-765-263
DB00570	MolPort-035-395-809
DB00571	MolPort-000-795-663
DB00571	MolPort-001-759-087
DB00571	MolPort-002-051-372
DB00571	MolPort-002-051-397
DB00571	MolPort-002-051-398
DB00571	MolPort-027-564-889
DB00572	MolPort-001-779-638
DB00572	MolPort-002-526-644
DB00572	MolPort-002-526-676
DB00572	MolPort-009-653-413
DB00572	MolPort-016-633-270
DB00572	MolPort-019-938-994
DB00572	MolPort-023-220-146
DB00572	MolPort-027-835-311
DB00572	MolPort-028-616-868
DB00572	MolPort-035-395-748
DB00572	MolPort-035-675-645
DB00575	MolPort-001-684-471
DB00575	MolPort-003-928-972
DB00575	MolPort-016-578-933
DB00577	MolPort-002-885-872
DB00577	MolPort-003-666-655
DB00577	MolPort-005-974-588
DB00577	MolPort-035-394-946
DB00577	MolPort-035-394-982
DB00578	MolPort-002-508-836
DB00578	MolPort-004-907-661
DB00580	MolPort-000-883-874
DB00581	MolPort-002-526-082
DB00581	MolPort-008-267-859
DB00581	MolPort-023-335-627
DB00582	MolPort-009-194-210
DB00582	MolPort-020-008-171
DB00583	MolPort-001-793-028
DB00583	MolPort-005-932-912
DB00584	MolPort-002-885-877
DB00584	MolPort-003-666-389
DB00584	MolPort-023-335-629
DB00585	MolPort-016-633-262
DB00585	MolPort-027-655-252
DB00586	MolPort-000-887-445
DB00588	MolPort-003-666-836
DB00588	MolPort-005-978-225
DB00588	MolPort-027-564-876
DB00590	MolPort-003-983-427
DB00591	MolPort-002-507-470
DB00591	MolPort-007-561-077
DB00594	MolPort-000-150-918
DB00594	MolPort-005-934-472
DB00594	MolPort-023-219-586
DB00595	MolPort-000-744-761
DB00595	MolPort-002-323-861
DB00595	MolPort-002-524-946
DB00595	MolPort-003-666-253
DB00595	MolPort-003-938-940
DB00596	MolPort-023-278-129
DB00598	MolPort-003-666-813
DB00598	MolPort-019-996-479
DB00601	MolPort-002-744-025
DB00601	MolPort-005-934-310
DB00602	MolPort-006-394-715
DB00602	MolPort-027-713-804
DB00603	MolPort-000-830-618
DB00603	MolPort-001-794-638
DB00603	MolPort-002-507-374
DB00603	MolPort-003-666-223
DB00604	MolPort-003-983-451
DB00605	MolPort-002-507-760
DB00605	MolPort-003-666-287
DB00607	MolPort-028-744-657
DB00608	MolPort-003-665-488
DB00608	MolPort-003-983-420
DB00610	MolPort-006-013-413
DB00610	MolPort-035-395-286
DB00612	MolPort-001-759-082
DB00612	MolPort-003-666-876
DB00612	MolPort-035-394-948
DB00613	MolPort-000-728-509
DB00613	MolPort-005-935-533
DB00613	MolPort-019-999-825
DB00613	MolPort-035-395-285
DB00614	MolPort-000-836-892
DB00615	MolPort-006-395-890
DB00615	MolPort-027-714-085
DB00615	MolPort-027-942-664
DB00618	MolPort-002-964-496
DB00618	MolPort-003-666-156
DB00619	MolPort-003-986-615
DB00620	MolPort-000-707-853
DB00620	MolPort-002-507-466
DB00620	MolPort-004-949-512
DB00622	MolPort-003-666-362
DB00624	MolPort-000-691-652
DB00624	MolPort-002-911-250
DB00624	MolPort-003-941-299
DB00625	MolPort-002-507-816
DB00625	MolPort-005-974-236
DB00627	MolPort-003-801-615
DB00629	MolPort-001-835-432
DB00629	MolPort-003-941-448
DB00629	MolPort-006-124-042
DB00629	MolPort-020-167-741
DB00629	MolPort-020-323-602
DB00630	MolPort-000-812-846
DB00630	MolPort-003-986-302
DB00630	MolPort-016-633-252
