drugbank_id	pubchem_dotf_id
DB07884	12015276
DB07885	24714749
DB07886	12013447
DB07919	12015642
DB08012	12014395
DB08017	12013782
DB08059	26746624
DB08094	12015951
DB08142	99431599
DB08144	99431667
DB08162	12014414
DB08183	49684221
DB08188	12014818
DB08313	22395397
DB08387	57304420
DB08399	12014609
DB08416	123055340
DB08435	12015428
DB08439	12015177
DB08463	136350043
DB08468	12013687
DB08472	12014047
DB08473	26683823
DB08477	22395270
DB08486	12014588
DB08502	12015158
DB08521	49684193
DB08544	12014047
DB08561	99431641
DB08567	12014562
DB08577	49684200
DB08592	49684233
DB08597	99431644
DB08607	12013560
DB08633	12014468
DB08639	57304387
DB08679	24714752
DB08700	125299329
DB08734	12015381
DB08741	12015142
DB08760	22395910
DB08764	12015522
DB08772	12014107
DB08806	12013537
DB08807	12013744
DB08810	12013294
DB08815	56310617
DB08816	49684205
DB08819	22395198
DB08820	125299328
DB08826	12014095
DB08828	99431642
DB08836	12014034
DB08842	12013796
DB08846	12013687
DB08860	12014762
DB08864	49684233
DB08865	125299329
DB08866	12012771
DB08868	12014880
DB08871	49684210
DB08873	92309409
DB08874	22395184
DB08877	99431630
DB08878	81044355
DB08881	123055406
DB08882	56310616
DB08889	92309411
DB08890	85197653
DB08896	123055398
DB08897	49684225
DB08899	125299336
DB08901	136350016
DB08903	81044374
DB08905	12013811
DB08906	24714804
DB08907	125299338
DB08910	50086901
DB08912	125299349
DB08915	136349978
DB08916	57304398
DB08918	12013109
DB08927	12013735
DB08930	123055423
DB08934	136350055
DB08939	12015542
DB08943	12015485
DB08947	12015543
DB08950	12013380
DB08951	22395903
DB08952	12015482
DB08955	22395231
DB08974	12015477
DB08976	22395233
DB08981	12015365
DB08986	12015558
DB08992	12013323
DB08998	12013333
DB09010	12013343
DB09017	12013024
DB09022	22395601
