drugbank_id	hmdb_id
DB00865	HMDB15003
DB00866	HMDB15004
DB00867	HMDB15005
DB00868	HMDB15006
DB00869	HMDB15007
DB00870	HMDB15008
DB00871	HMDB15009
DB00872	HMDB15010
DB00873	HMDB15011
DB00874	HMDB04998
DB00875	HMDB15013
DB00876	HMDB15014
DB00877	HMDB15015
DB00878	HMDB15016
DB00879	HMDB15017
DB00880	HMDB15018
DB00881	HMDB15019
DB00882	HMDB15020
DB00883	HMDB15021
DB00884	HMDB15022
DB00885	HMDB15023
DB00887	HMDB15024
DB00888	HMDB15025
DB00889	HMDB15026
DB00890	HMDB15027
DB00891	HMDB15028
DB00892	HMDB15029
DB00894	HMDB15031
DB00895	HMDB00182
DB00895	HMDB03405
DB00895	HMDB15032
DB00896	HMDB15033
DB00897	HMDB15034
DB00898	HMDB00108
DB00899	HMDB15036
DB00900	HMDB15037
DB00902	HMDB15038
DB00903	HMDB15039
DB00904	HMDB05035
DB00905	HMDB15041
DB00906	HMDB15042
DB00907	HMDB15043
DB00908	HMDB14611
DB00908	HMDB15044
DB00909	HMDB15045
DB00910	HMDB15046
DB00911	HMDB15047
DB00912	HMDB15048
DB00913	HMDB15049
DB00914	HMDB15050
DB00915	HMDB15051
DB00916	HMDB15052
DB00917	HMDB01220
DB00917	HMDB05844
DB00917	HMDB60041
DB00918	HMDB15054
DB00919	HMDB15055
DB00920	HMDB15056
DB00921	HMDB15057
DB00921	HMDB60547
DB00922	HMDB15058
DB00923	HMDB15059
DB00924	HMDB15060
DB00925	HMDB15061
DB00927	HMDB01919
DB00928	HMDB15063
DB00929	HMDB15064
DB00931	HMDB15066
DB00932	HMDB15067
DB00933	HMDB15068
DB00934	HMDB15069
DB00935	HMDB15070
DB00936	HMDB01895
DB00937	HMDB15072
DB00938	HMDB15073
DB00939	HMDB15074
DB00940	HMDB15075
DB00941	HMDB15076
DB00942	HMDB15077
DB00943	HMDB15078
DB00944	HMDB15079
DB00945	HMDB01879
DB00946	HMDB15081
DB00947	HMDB15082
DB00948	HMDB15083
DB00949	HMDB15084
DB00950	HMDB05030
DB00951	HMDB15086
DB00952	HMDB15087
DB00953	HMDB15088
DB00954	HMDB15089
DB00955	HMDB15090
DB00956	HMDB15091
DB00957	HMDB15092
DB00958	HMDB00051
DB00958	HMDB15093
DB00958	HMDB41827
DB00959	HMDB15094
DB00960	HMDB15095
DB00961	HMDB15096
DB00962	HMDB15097
DB00963	HMDB15098
DB00964	HMDB15099
DB00966	HMDB15101
DB00967	HMDB15102
DB00968	HMDB11754
DB00968	HMDB60806
DB00969	HMDB15104
DB00970	HMDB15105
DB00971	HMDB15106
DB00972	HMDB15107
DB00973	HMDB15108
DB00974	HMDB15109
DB00975	HMDB15110
DB00976	HMDB15111
DB00977	HMDB01926
DB00977	HMDB61097
DB00978	HMDB15113
DB00979	HMDB15114
DB00980	HMDB15115
DB00981	HMDB15116
DB00982	HMDB01852
DB00982	HMDB02369
DB00982	HMDB06219
DB00982	HMDB12874
DB00983	HMDB15118
DB00983	HMDB15399
DB00984	HMDB15119
DB00985	HMDB01927
DB00985	HMDB15120
DB00985	HMDB41921
DB00986	HMDB15121
DB00987	HMDB00089
DB00987	HMDB15122
DB00988	HMDB00073
DB00989	HMDB15124
DB00990	HMDB15125
DB00991	HMDB15126
DB00992	HMDB15127
DB00993	HMDB15128
DB00994	HMDB15129
DB00995	HMDB04138
DB00995	HMDB15130
DB00996	HMDB05015
DB00997	HMDB14588
DB00997	HMDB15132
DB00998	HMDB15133
DB00999	HMDB01928
DB01000	HMDB15135
DB01001	HMDB01937
DB01002	HMDB14442
DB01002	HMDB15137
DB01003	HMDB15138
DB01004	HMDB15139
DB01005	HMDB15140
DB01006	HMDB15141
DB01007	HMDB15142
DB01008	HMDB15143
DB01009	HMDB15144
DB01009	HMDB41873
DB01010	HMDB15145
DB01011	HMDB15146
DB01012	HMDB15147
DB01014	HMDB15149
DB01015	HMDB15150
DB01016	HMDB15151
DB01017	HMDB15152
DB01018	HMDB15153
DB01019	HMDB15154
DB01020	HMDB15155
DB01021	HMDB15156
DB01022	HMDB03555
DB01022	HMDB04198
DB01022	HMDB15157
DB01023	HMDB15158
DB01024	HMDB15159
DB01025	HMDB15160
DB01026	HMDB12242
DB01028	HMDB15162
DB01029	HMDB15163
DB01030	HMDB15164
DB01031	HMDB15165
DB01032	HMDB15166
DB01033	HMDB15167
DB01034	HMDB15168
DB01035	HMDB15169
DB01036	HMDB15170
DB01037	HMDB15171
DB01038	HMDB15172
DB01039	HMDB15173
DB01040	HMDB03903
DB01040	HMDB15174
DB01041	HMDB15175
DB01042	HMDB15176
DB01043	HMDB15177
DB01044	HMDB15178
DB01045	HMDB15179
DB01046	HMDB15180
DB01047	HMDB15181
DB01048	HMDB15182
DB01050	HMDB01925
DB01051	HMDB15185
DB01053	HMDB15186
DB01054	HMDB15187
DB01055	HMDB15188
DB01056	HMDB15189
DB01057	HMDB15190
DB01058	HMDB15191
DB01059	HMDB15192
DB01060	HMDB15193
DB01060	HMDB30500
DB01061	HMDB15194
DB01062	HMDB15195
DB01063	HMDB15196
DB01064	HMDB15197
DB01065	HMDB01389
DB01066	HMDB15199
DB01067	HMDB15200
DB01068	HMDB15201
DB01069	HMDB15202
DB01070	HMDB15203
DB01071	HMDB15204
DB01072	HMDB15205
DB01073	HMDB15206
DB01074	HMDB15207
DB01075	HMDB01927
DB01075	HMDB15120
DB01075	HMDB41921
DB01076	HMDB05006
DB01077	HMDB15210
DB01078	HMDB15211
DB01080	HMDB15212
DB01081	HMDB15213
DB01082	HMDB15214
DB01083	HMDB15215
DB01084	HMDB15216
DB01085	HMDB15217
DB01086	HMDB04992
DB01087	HMDB15219
DB01088	HMDB15220
DB01089	HMDB15221
DB01090	HMDB15222
DB01091	HMDB15223
DB01092	HMDB15224
DB01092	HMDB31448
DB01093	HMDB02151
DB01094	HMDB05782
DB01094	HMDB30746
DB01095	HMDB15227
DB01096	HMDB15228
DB01097	HMDB15229
DB01098	HMDB15230
DB01099	HMDB15231
DB01100	HMDB15232
DB01101	HMDB15233
DB01102	HMDB15234
DB01103	HMDB15235
DB01104	HMDB05010
DB01105	HMDB15237
DB01106	HMDB15238
DB01107	HMDB15239
DB01108	HMDB15240
DB01110	HMDB15242
DB01111	HMDB15243
DB01112	HMDB15244
DB01113	HMDB15245
DB01114	HMDB01944
DB01115	HMDB15247
DB01116	HMDB15248
DB01117	HMDB15249
DB01118	HMDB15250
DB01119	HMDB15251
DB01120	HMDB15252
DB01121	HMDB15253
DB01122	HMDB15254
DB01123	HMDB15255
