drugbank_id	zinc_id
DB00336	ZINC00897369
DB00338	ZINC04693574
DB00338	ZINC04693575
DB00339	ZINC00002005
DB00340	ZINC01481877
DB00340	ZINC01713960
DB00341	ZINC19364229
DB00341	ZINC19364230
DB00342	ZINC03812892
DB00342	ZINC03831511
DB00343	ZINC00601259
DB00343	ZINC00621890
DB00343	ZINC00621892
DB00343	ZINC00621893
DB00344	ZINC01530764
DB00345	ZINC00119344
DB00346	ZINC01542392
DB00346	ZINC01843099
DB00347	ZINC01530710
DB00349	ZINC00001175
DB00350	ZINC00001735
DB00351	ZINC03881640
DB00351	ZINC05292210
DB00351	ZINC05292211
DB00351	ZINC05292225
DB00351	ZINC05292229
DB00351	ZINC08617435
DB00351	ZINC17004405
DB00351	ZINC17058092
DB00351	ZINC17058094
DB00351	ZINC43601768
DB00351	ZINC71770084
DB00352	ZINC03831522
DB00352	ZINC18085533
DB00353	ZINC03831067
DB00353	ZINC03831068
DB00354	ZINC19364226
DB00354	ZINC19364228
DB00355	ZINC03830264
DB00355	ZINC12503091
DB00355	ZINC16958002
DB00355	ZINC17214369
DB00355	ZINC19795769
DB00355	ZINC32911491
DB00356	ZINC00897320
DB00357	ZINC01530855
DB00357	ZINC01530856
DB00358	ZINC00537964
DB00358	ZINC00897085
DB00358	ZINC03874185
DB00359	ZINC00120319
DB00360	ZINC00895154
DB00360	ZINC02539827
DB00360	ZINC04228257
DB00360	ZINC04228258
DB00360	ZINC13585233
DB00360	ZINC13815072
DB00360	ZINC13815079
DB00360	ZINC18059633
DB00363	ZINC19796155
DB00365	ZINC00587541
DB00365	ZINC00967787
DB00366	ZINC00000242
DB00366	ZINC07997952
DB00367	ZINC01849618
DB00367	ZINC03053828
DB00367	ZINC03814395
DB00367	ZINC03874524
DB00367	ZINC03874525
DB00367	ZINC03874526
DB00367	ZINC03977930
DB00367	ZINC03977931
DB00367	ZINC03977932
DB00367	ZINC05247751
DB00367	ZINC05247752
DB00367	ZINC05247753
DB00367	ZINC05247803
DB00367	ZINC05247804
DB00367	ZINC05247805
DB00367	ZINC11592826
DB00367	ZINC11592827
