drugbank_id	chembl_id
DB00344	CHEMBL1200332
DB00344	CHEMBL668
DB00345	CHEMBL1200365
DB00345	CHEMBL463
DB00346	CHEMBL1317208
DB00346	CHEMBL1723
DB00346	CHEMBL709
DB00347	CHEMBL695
DB00348	CHEMBL1337
DB00349	CHEMBL70418
DB00350	CHEMBL802
DB00351	CHEMBL585991
DB00352	CHEMBL727
DB00353	CHEMBL1200843
DB00353	CHEMBL1201356
DB00353	CHEMBL1405853
DB00353	CHEMBL1436859
DB00353	CHEMBL1437754
DB00353	CHEMBL1473622
DB00353	CHEMBL1474117
DB00353	CHEMBL1521789
DB00353	CHEMBL1597692
DB00353	CHEMBL1620648
DB00354	CHEMBL1200403
DB00354	CHEMBL1201271
DB00354	CHEMBL1594076
DB00354	CHEMBL2360580
DB00355	CHEMBL1360450
DB00355	CHEMBL1553249
DB00355	CHEMBL158
DB00355	CHEMBL410081
DB00356	CHEMBL1371
DB00357	CHEMBL1394757
DB00357	CHEMBL1744470
DB00357	CHEMBL2051951
DB00357	CHEMBL488
DB00358	CHEMBL1606
DB00358	CHEMBL172
DB00358	CHEMBL411329
DB00358	CHEMBL411685
DB00358	CHEMBL411686
DB00358	CHEMBL416956
DB00358	CHEMBL535650
DB00359	CHEMBL1200766
DB00359	CHEMBL439
DB00360	CHEMBL1201774
DB00360	CHEMBL1201775
DB00360	CHEMBL1203334
DB00360	CHEMBL1315516
DB00360	CHEMBL1354914
DB00360	CHEMBL1515624
DB00360	CHEMBL1616454
DB00360	CHEMBL270788
DB00360	CHEMBL337765
DB00361	CHEMBL3209022
DB00361	CHEMBL3302063
DB00361	CHEMBL538943
DB00361	CHEMBL553025
DB00362	CHEMBL1275711
DB00362	CHEMBL1630215
DB00362	CHEMBL1631577
DB00362	CHEMBL264241
DB00363	CHEMBL42
DB00363	CHEMBL538973
DB00364	CHEMBL1098659
DB00364	CHEMBL1232306
DB00364	CHEMBL1352483
DB00364	CHEMBL2105800
DB00364	CHEMBL2106489
DB00364	CHEMBL2367706
DB00365	CHEMBL1200393
DB00365	CHEMBL583
DB00366	CHEMBL1004
DB00366	CHEMBL1200392
DB00366	CHEMBL1494294
DB00366	CHEMBL1622549
DB00366	CHEMBL1907837
DB00367	CHEMBL1074
DB00367	CHEMBL1371102
DB00367	CHEMBL1389
DB00367	CHEMBL1571929
DB00367	CHEMBL2107797
DB00367	CHEMBL3184827
DB00368	CHEMBL1356607
DB00368	CHEMBL1434513
DB00368	CHEMBL1437
DB00368	CHEMBL1734806
DB00368	CHEMBL18824
DB00368	CHEMBL2062273
DB00368	CHEMBL2062274
DB00368	CHEMBL2130595
DB00368	CHEMBL2311152
DB00368	CHEMBL3248963
DB00368	CHEMBL3273169
DB00368	CHEMBL432
DB00369	CHEMBL152
DB00369	CHEMBL27710
DB00370	CHEMBL1366933
DB00370	CHEMBL2107339
DB00370	CHEMBL608847
DB00370	CHEMBL654
DB00371	CHEMBL979
DB00372	CHEMBL1200856
